,Pop2019,Pop2010,Pop%<5,Pop%<18,Pop%<64,PopFemale,MedValHm,MedRent,%WComputer,%WInternet,%HSGrad+,%inLabForce,%FinLabForce,A&FSales1K,RSales1K,MedHInc,PerCapInc,Poverty%,PopSqMile,LandAreaSqM,FIPSCode
KC,495327,459902,6.8,23.1,12.9,51.5,154600,941,89.8,81.3,90.0,69.0,65.1,1630048,7537341,54194,32348,16.1,1459.9,314.95,"""2938000"""
Austin,978908,801829,6.4,20.4,8.9,49.2,337400,1280,94.9,87.5,89.4,73.8,67.4,3474670,14738182,71576,43043,13.2,2653.2,297.9,"""4805000"""
Memphis,651073,651873,7.6,25.0,12.8,52.7,101800,901,80.6,69.5,85.7,63.3,60.8,1503947,18848867,41228,25605,25.1,2053.3,315.06,"""4748000"""
Charlotte,885708,735607,6.8,23.7,10.2,51.9,220300,1135,94.0,87.4,89.1,71.6,66.5,2413557,10901026,62817,38000,12.8,2457.1,297.68,"""3712000"""
NYC,8336817,8175031,6.5,20.8,14.5,52.3,606000,1443,89.1,81.5,82.2,63.6,58.8,27452861,92265000,63998,39828,17.9,27012.5,302.64,"""3651000"""
United States,328239523,308758105,6.0,22.3,16.5,50.8,217500,1062,90.3,82.7,88.0,63.0,58.3,708138598,4219821871,62843,34103,10.5,87.4,3531905.43,"""1"""
