,City,State,Lat,Lng
0,Lockhart,TX,29.8849441,-97.6699996
1,Memphis,TN,35.1495343,-90.0489801
2,Kansas City,MO,39.0997265,-94.5785667
3,Lexington,NC,35.8240265,-80.2533838
4,Austin,TX,30.267153,-97.7430608
5,St. Louis,MO,38.6270025,-90.19940419999999
6,Dallas,TX,32.7766642,-96.79698789999999
7,Nashville,TN,36.1626638,-86.7816016
8,Atlanta,GA,33.7489954,-84.3879824
9,Brooklyn,NY,40.6781784,-73.9441579
